Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of 聽mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
0,More than 1000,1,,Yes,I am not sure,No,No,Yes,Somewhat difficult,Yes,Maybe,Yes,Yes,No,No,,,,,,,,,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",None did,None of them,Maybe,Depends on the social perception of the issue.,No,Too easy to map mental health to ability to do the job.,Maybe,Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,No,1,Often,Often,46,Female assigned at birth ,Netherlands,,Netherlands,
1,,,,,,,,,,,,,,,,1,I know some,"No, because it would impact me negatively",I'm not sure,"Sometimes, if it comes up",No,Yes,51-75%,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,,No,,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,No,1,Sometimes,Often,28,M,Lithuania,,Lithuania,
0,More than 1000,0,1,No,I am not sure,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,41,Male,United States of America,Georgia,United States of America,Georgia
0,06岿 25老,1,,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,Seems like it would deter them from hiring me.,No,Seems like it would deter them from hiring me.,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,male,United States of America,Kentucky,United States of America,Kentucky
1,,,,,,,,,,,,,,,,1,I know some,"Sometimes, if it comes up",I'm not sure,"Sometimes, if it comes up",I'm not sure,Yes,1-25%,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,Some of them,Yes,I would bring up a physical health issue with a prospective employer if I were to find that the job required tasks that I was unable to complete or safely attempt that could cause injury to myself or others. ,Maybe,"I think the only time would be with ""on call"" work (i.e. Being available 24/7 with no set schedule) as this causes far too much stress in my life. I refuse, and have quit, jobs that rely on this method. The job that I quit was promised to have a schedule in the interview.","No, I don't think it would",Maybe,Very open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Rarely,Often,32,Male,United States of America,West Virginia,United States of America,Ohio
0,06岿 25老,1,,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,"If the issue would impact my performance without some form of concessions/consideration on the party of the employer, I would, otherwise I wouldn't. ",Maybe,"There's likely nothing they could do to mitigate any performance problems as a result of a mental health issue, so I probably wouldn't discuss. ",Maybe,Maybe,Somewhat not open,No,,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,45,Male,United States of America,Virginia,United States of America,Virginia
1,,,,,,,,,,,,,,,,0,I know some,"No, because it doesn't matter",N/A,Not applicable to me,Not applicable to me,Yes,26-50%,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",I don't know,I don't know,Some of them,Yes,"Because I'd want to know if they can provide an ergonomic keyboard, or are happy with a worker plugging their own keyboard into their computers.",Yes,Would want to know if management support is going to work.,"No, I don't think it would",Maybe,Neutral,Maybe/Not sure,N/A,Yes,Yes,Maybe,Yes,1,Not applicable to me,Not applicable to me,43,male,United Kingdom,,United Kingdom,
0,06岿 25老,1,,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,I don't know,No,,,,,,,,,1,Some did,"Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,None of their business,No,Not related to my qualifications or skills,Maybe,Maybe,Somewhat open,No,,No,Maybe,Yes,Yes,1,Often,Often,37,F,United States of America,California,United States of America,California
0,26-100,1,,No,N/A,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,,No,,"Yes, it has",Maybe,Neutral,Maybe/Not sure,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,37,M,Australia,,Australia,
0,06岿 25老,1,,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,,Yes,,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,California,United States of America,California
1,,,,,,,,,,,,,,,,1,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Not applicable to me,,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Yes,simply because it's important for them to be aware of the situation when I would have physical issues.,Maybe,"mental issues are a bit stigmatic, everyone knows it's there but no-one wants to deal with it. A broken leg isn't that big a deal, but a broken mind is abstract.",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,Netherlands,,Netherlands,
0,More than 1000,1,,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"I understand that, while they might consciously not act differently if I had a physical issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.",No,"I understand that, while they might consciously not act differently if I had a mental health issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.  Furthermore, there's a huge stigma behind it.",Maybe,"No, I don't think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Never,Sometimes,36,Male,United States of America,California,United States of America,California
0,500-1000,0,1,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,,,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,"Because, if it were a physical health issue that might affect my job performance, it'd be difficult to hide and a potential might resent the fact that I wasn't forthcoming about it in an interview.",No,"Because, if it were a mental health issue that might affect my job performance, it may be easy to hide, while being forthcoming about it might impact my likelihood to get the job in the first place.","Yes, I think it would",Maybe,Neutral,No,,No,Maybe,Maybe,Yes,1,Rarely,Often,34,Male,United States of America,Florida,United States of America,Florida
0,More than 1000,0,0,Yes,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,1,Some did,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,"Yes, all of them",No,It's too early - I don't want to discuss potential deal breakers until they've decided they want me. ,No,Same reasons. ,Maybe,"No, I don't think they would",Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Woman,United States of America,Massachusetts,United States of America,Massachusetts
0,26-100,1,,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,,,,,,,,,0,,,,,,,,,,,,Maybe,,Maybe,,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Maybe,Maybe,Yes,1,Rarely,Often,30,Male,United States of America,Oregon,United States of America,Oregon
0,100-500,0,1,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,,,,,,,,,1,Some did,"No, I only became aware later",None did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,,No,,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,Maybe,Yes,Maybe,Maybe,No,0,Sometimes,Often,32,Male,Canada,,Canada,
0,06岿 25老,0,1,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,No,Maybe,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,It would depend on the issue and the employer.,No,The stigma of the topic.,"No, I don't think it would",Maybe,Somewhat not open,No,,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,40,female,United States of America,North Dakota,United States of America,North Dakota
0,100-500,0,1,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,,,,,,,,,1,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,None did,None of them,Yes,I wouldn't want to risk leaving a current job position for one where such things could be an issue.,Maybe,"If it got in the way of work, it if I needed some accommodation, I would, but, otherwise, it wouldn't seem worth it.",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,40,Male,United States of America,Tennessee,United States of America,Tennessee
0,More than 1000,1,,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,"if the physical issue is obvious at work, it's better not to try to hide.",Maybe,"same thing: If it has impact or if it's visible at work, why trying to hide.","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,I don't know,No,Maybe,No,0,Sometimes,Sometimes,41,man,France,,France,
0,26-100,0,1,Not eligible for coverage / N/A,N/A,No,No,I don't know,Very difficult,Yes,No,No,Maybe,No,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Yes,If it were relevant to the role I would mention it,Maybe,"If it would have a direct impact on my ability to perform the role I would feel compelled to mention it, but depending on how understanding I expected the employer to I might not, due to the negative consequences. ","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,No,Yes,Maybe,Yes,1,Rarely,Often,27,Male,United Kingdom,,United Kingdom,
0,26-100,1,,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,,,,,,,,,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,None of them,Maybe,,Maybe,,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",N/A,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,New York,United States of America,New York
1,,,,,,,,,,,,,,,,0,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Not applicable to me,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,No,No because it might not get me the job ,No,Won't get the job. ,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,29,Male,Venezuela,,Venezuela,
1,,,,,,,,,,,,,,,,0,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Not applicable to me,,1,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,Disclosing that cannot help you get the job,No,Disclosing that cannot help you get the job,Maybe,Maybe,Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,United Kingdom,,United Kingdom,
1,,,,,,,,,,,,,,,,1,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Not applicable to me,,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,None of their business.,No,,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,male,Netherlands,,Netherlands,
0,06岿 25老,0,0,No,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Yes,,,,,,,,,1,"No, none did",I was aware of some,None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,35,female,United States of America,Indiana,United States of America,Indiana
